CRN,URL,Course,Title,Instructors,Course Meeting,Credits
30723,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30723,SOCI 500,SUMMER RESEARCH,"Chavez, Sergio", ,1 TO 15
31132,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=31132,SOCI 500,SUMMER RESEARCH,"Diaz, Christina", ,1 TO 15
31131,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=31131,SOCI 500,SUMMER RESEARCH,"Evans, Shani A.", ,1 TO 15
31133,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=31133,SOCI 500,SUMMER RESEARCH,"Fiel, Jeremy", ,1 TO 15
31365,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=31365,SOPE 513,MSPE EVALUATION PRACTICUM I,"Rezende Cunha, Flavio",6:00PM - 8:00PM MT  ,3
31366,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=31366,SOPE 514,MSPE PRACTICUM II,"Rezende Cunha, Flavio",6:00PM - 8:00PM MT  ,3
31464,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=31464,SOSC 007,VISITING RESEARCH,"Cruz, Ivonne", ,0
31528,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=31528,SPAN 322,SPANISH FOR MEDICAL II,"Diaz Montalvo, Thais", ,3
31529,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=31529,SPAN 322,SPANISH FOR MEDICAL II,"Bennaji, Charla", ,3
31501,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=31501,SPAN 322,SPAN:BUSINS & PROFSNL WORLD II,"Boggiano, Aymara", ,3
31532,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=31532,SPAN 324,SPANISH PROFESSIONAL PRAC II,"Diaz Montalvo, Thais", ,3
31533,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=31533,SPAN 324,SPANISH PROFESSIONAL PRAC II,"Bennaji, Charla", ,3
31521,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=31521,SPAN 324,SPANISH PROFESSIONAL PRAC II,"Boggiano, Aymara", ,3
31508,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=31508,SPAN 393,COMTEMP SPAN CULTURE & SOCIETY,"Duno-Gottberg, Luis",5:00PM - 7:30PM TR  ,3
31509,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=31509,SPAN 393,COMTEMP SPAN CULTURE & SOCIETY,"Lopez Duran, Maria Fabiola",5:00PM - 7:30PM TR  ,3
31503,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=31503,SPAN 492,SUMMER INTERNSHIP IN MADRID,"Duno-Gottberg, Luis", ,3
30117,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30117,SSPB 800,GRADUATE RESEARCH,"Ajo-Franklin, Caroline", ,9
